,"GDP"
"1990",8884848484.85
"1991",5344000000
"1992",444658671.59
"1993",1570392598.15
"1994",1193141110.35
"1995",2417331192.95
"1996",3176507376.32
"1997",3962362387.48
"1998",4446368570.69
"1999",4581248566.5
"2000",5272615722.97
"2001",5707616203.72
"2002",6236087738.28
"2003",7276413079.11
"2004",8680405740.94
"2005",13245421880.83
"2006",20981929497.62
"2007",33049419431.22
"2008",48851293785.45
"2009",44292427184.95
"2010",52909294791.93
"2011",65952796427.95
"2012",69679944504.2
"2013",74160560123.69
"2014",75239785452.1
"2015",53076235354.75
"2016",37866996882.92
"2017",40866627351.98
"2018",47112470051.77
"2019",48174235294.12
"2020",42693000000
"2021",54825411764.71
"2022",78807470588.24
"2023",72356176470.59
