Year,,Cəmi (min manat),Dəmir yolu (mln.manat),Dəniz (min manat),Hava (min manat),Boru kəməri (min manat),neft kəməri (min manat),qaz kəməri (min manat),Avtomobil (min manat)
2024,,4021903.0,427422.0,211906.0,2123704.0,901346.0,301801.0,599545.0,357525.0
2023,,3546099.0,326202.0,202304.0,1835553.0,925185.0,256391.0,668794.0,256855.0
2022,,5192048.0,251589.0,217667.0,3323161.0,1158408.0,218571.0,939837.0,241223.0
2021,,4468545.0,247469.0,173744.0,2831815.0,1021213.0,240720.0,780493.0,194304.0
2020,,3382887.0,273927.0,165743.0,2354497.0,411830.0,243661.0,168169.0,176890.0
2019,,2416430.0,260646.0,166465.0,1273033.0,436830.0,267603.0,169227.0,279456.0
2018,,2592522.0,248608.0,171414.0,1451140.0,393426.0,232316.0,161110.0,327934.0
2017,,2201238.0,345263.0,159354.0,992168.0,418547.0,263263.0,155284.0,285906.0
2016,,1655605.0,245551.0,170703.0,601140.0,390673.0,219822.0,170851.0,247538.0
2015,,1345095.0,151482.0,151918.0,448755.0,379729.0,198242.0,181487.0,213211.0
2014,,1283938.0,167813.0,116654.0,455603.0,362412.0,199913.0,162499.0,181456.0
2013,,1194925.0,109841.0,105351.0,381071.0,445535.0,305310.0,140225.0,153127.0
2012,,985577.0,138147.0,102949.0,279201.0,334848.0,218781.0,116067.0,130432.0
2011,,888313.0,125151.0,98448.0,266928.0,287903.0,200151.0,87752.0,109883.0
2010,,785096.0,151616.0,90273.0,185520.0,269780.0,190940.0,78840.0,87907.0
2009,,721646.0,145011.0,101056.0,139403.0,265169.0,167020.0,98149.0,71007.0
2008,,835078.0,167958.0,88914.0,147277.0,378641.0,182986.0,195655.0,52288.0
2007,,688498.0,143071.0,75282.0,127146.0,300420.0,194752.0,105668.0,42579.0
2006,,420030.0,104755.0,77806.0,98725.0,103261.0,98672.0,4589.0,35483.0
2005,,303228.0,104671.0,64983.0,87124.0,13534.0,10225.0,3309.0,32916.0
2004,,267135.0,78220.0,65490.0,78431.0,13404.0,9305.0,4099.0,31589.0
2003,,210418.0,65614.0,50046.0,51816.0,12478.0,9313.0,3165.0,30464.0
2002,,176207.0,59633.0,43427.0,30378.0,12997.0,8346.0,4651.0,29772.0
2001,,173246.0,55374.0,45299.0,28419.0,16217.0,7201.0,9016.0,27937.0
2000,,188565.0,61232.0,46257.0,30359.0,28368.0,12188.0,16180.0,22349.0
1999,,194009.0,58616.0,42001.0,34072.0,41667.0,9699.0,31968.0,17652.0
1998,,172798.0,55979.0,41505.0,12002.0,51234.0,10975.0,40260.0,12078.0
1997,,140575.0,49362.0,40533.0,3068.0,39063.0,8855.0,30208.0,8549.0
1996,,119348.0,26613.0,36711.0,2837.0,46880.0,3844.0,43036.0,6307.0
1995,,96864.0,20549.0,29285.0,1476.0,35046.0,1992.0,33054.0,10508.0
